_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-7.587767512619245,GO:0050896,response to stimulus,M1,1,GO:0071363 cellular response to growth factor stimulus
1,-6.789208609038716,GO:0051179,localization,M1,1,GO:0043269 regulation of monoatomic ion transport
1,-5.935305290785189,GO:0009987,cellular process,M1,1,GO:0030029 actin filament-based process
1,-5.8292793665514315,GO:0050789,regulation of biological process,M1,1,GO:0043523 regulation of neuron apoptotic process
1,-5.5677966293725065,GO:0048519,negative regulation of biological process,M1,1,GO:0043524 negative regulation of neuron apoptotic process
1,-5.369208085478368,GO:0032501,multicellular organismal process,M1,1,GO:0001775 cell activation
1,-5.060679200664328,GO:0048518,positive regulation of biological process,M1,1,GO:0043065 positive regulation of apoptotic process
1,-4.971442232617227,GO:0032502,developmental process,M1,1,GO:0048729 tissue morphogenesis
1,-4.5776060040679285,GO:0002376,immune system process,M1,1,GO:0045321 leukocyte activation
1,-4.070661115166733,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0009615 response to virus
1,-3.4077411595475056,GO:0040011,locomotion,M1,1,GO:2000147 positive regulation of cell motility
1,-3.0438377562570023,GO:0040007,growth,M1,1,GO:0040007 growth
1,-2.842893843248357,GO:0042592,homeostatic process,M1,1,GO:0010880 regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum
1,-2.651682734760317,GO:0065007,biological regulation,M1,1,GO:0043085 positive regulation of catalytic activity
1,-2.5392199091128123,GO:0022414,reproductive process,M1,1,GO:0019098 reproductive behavior
