Cluster,Score,Type,Gene,Symbol,Network
2,2.3333333333333335,Seed,10250,SRRM1,MyList_SUB1
2,2.3333333333333335,Clustered,51593,SRRT,MyList_SUB1
2,2.3333333333333335,Clustered,1025,CDK9,MyList_SUB1
2,2.3333333333333335,Clustered,7150,TOP1,MyList_SUB1
2,2.3333333333333335,Clustered,23451,SF3B1,MyList_SUB1
2,2.3333333333333335,Clustered,23524,SRRM2,MyList_SUB1
1,1.625,Clustered,5179,PENK,MyList_SUB1
1,1.625,Seed,6525,SMTN,MyList_SUB1
1,1.625,Clustered,4641,MYO1C,MyList_SUB1
1,1.625,Clustered,718,C3,MyList_SUB1
1,1.625,Clustered,2771,GNAI2,MyList_SUB1
1,1.625,Clustered,8572,PDLIM4,MyList_SUB1
1,1.625,Clustered,9260,PDLIM7,MyList_SUB1
1,1.625,Clustered,63940,GPSM3,MyList_SUB1
3,1.0,Clustered,5754,PTK7,MyList_SUB1
3,1.0,Clustered,4134,MAP4,MyList_SUB1
3,1.0,Clustered,79443,FYCO1,MyList_SUB1
